"identifiant","nature_contrat","localisation_emploi","region_emploi","entreprise_groupe","groupe","intitule_emploi","remuneration_annuelle_brute","prime","remuneration_prime","taille_entreprise_premier_emploi","secteur_premiere_entreprise","status_cadre_premier_emploi","nom_entreprise_premier_emploi"
1789078743052160,"","","","","","",NA,"",NA,"","","",""
1775261297609710,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d'Azur","Oui","DAVIDSON","Pilote d'évolution",32000,"Oui",33000,"","","",""
1783483995976280,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d'Azur","Oui","IREM SPA","Ingénieur d'études ",36000,"Oui",39000,"","","",""
1788635920274000,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur d'études",28800,"Oui",28800,"","","",""
1768095949487950,"","","","","","",NA,"",NA,"","","",""
1793993174453520,"CDD (contrat de travail à durée déterminée)","En France","Bourgogne-Franche-Comté","Non","","Ingenieur R&D Soudage",NA,"Oui",NA,"","","",""
1789582997205270,"","","","","","",NA,"",NA,"","","",""
1816751190430000,"CDI (contrat de travail à durée indéterminée) y compris CDIC","A l'étranger","","Non","","Ingénieur projet réalisation ",NA,"Oui",NA,"","","",""
1798761120459530,"","","","","","",NA,"",NA,"","Autres secteurs ","Non","Non applicable"
1782921034569700,"","","","","","",NA,"",NA,"","","",""
1888404484035290,"","","","","","",NA,"",NA,"250 à  4 999 salarié(e)s ","Administration d'État, Collectivités territoriales, Hospitalière","Non","Agence de l'eau Seine Normandie"
1889049454965750,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d'Azur","Non","","Chargée d'études",NA,"Non",NA,"","","",""
1889049477373780,"Mission d'intérim","En France","Auvergne-Rhône-Alpes","Oui","EDF","Ingénieur environnement",NA,"Oui",NA,"","","",""
1767911677127430,"CDI (contrat de travail à durée indéterminée) y compris CDIC","A l'étranger","","Oui","SGI","Ingénieur d'études en hydraulique urbaine",56000,"Oui",61000,"","","",""
1782333055995110,"","","","","","",NA,"",NA,"","","",""
1788524684447960,"CDD (contrat de travail à durée déterminée)","En France","Occitanie","Oui","Veolia environnement","Chargée d'etudes Et de projets ",26840,"Oui",27874,"5 000 salarié(e)s ou plus","Production et distribution d'eau assainissement, gestion des déchets et dépollution","Oui","Veolia eau "
1875413937800860,"CDD (contrat de travail à durée déterminée)","En France","Nouvelle-Aquitaine","Non","","chargée de mission milieux aquatiques",NA,"Non",NA,"","","",""
1788522931505030,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Saur","Ingenieur Reporting",30000,"Oui",30000,"","","",""
1776094903038990,"CDI (contrat de travail à durée indéterminée) y compris CDIC","","","","","",NA,"",NA,"","","",""
1793784763902670,"CDD (contrat de travail à durée déterminée)","En France","Hauts-de-France","Non","","Conducteur de travaux - ouvrages eaux pluviales",18000,"Non",18000,"","","",""
1783551669029900,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Non","","Ingénieur chargé d'études",NA,"",NA,"","","",""
1788414814359190,"","","","","","",NA,"",NA,"","","",""
1767833242749510,"CDD (contrat de travail à durée déterminée)","En France","Occitanie","Oui","Artelia","Ingénieur responsable de mission",26400,"Oui",28600,"","Administration d'État, Collectivités territoriales, Hospitalière","Non","SCHAPI"
1776629965327550,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","Ingénieur en hydraulique",25500,"Oui",26500,"","","",""
