date,identifiant,sexe,nationalite_francaise,nationalite,annee_diplome,type_formation,filiere,situation_actuelle,en_recherche_emploi,nb_mois_recherche_emploi,refus_emploi,difficultés_recherche,alternance,poste_occupe,secteur_activite,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_emploi,pays_localisation,temps_partiel,nb_mois_occupation_emploi,handicap,taille_entreprise,service_emploi,intitule_poste,statut_cadre,secteur_activite,domaine_entreprise,remuneration_annuelle_brute,prime,remuneration_prime,alternance,statut,nature_contrat_premier_emploi,intitule_premier_emploi,localisation_premier_emploi,region_premier_emploi,pays_premier_emploi,ville_premier_emploi,taille_entreprise_premier_emploi,secteur_activite_entreprise_premier_emploi,statut_cadre_premier_emploi,temps_partiel_premier_emploi,remuneration_annuelle_brute_hors_prime_premier_emploi,prime_premier_emploi,remuneration_annuelle_brute_avec_prime_premier_emploi
18/03/2019 12:32,"1,79379E+15",Homme,Oui,,2017,Sous contrat d apprentissage,Mécanique Structures Industrielles (MSI - apprentissage),En activité professionnelle,,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Occitanie,,Non,5.0,Non,De 50 à 249 salarié(e)s ,Production - Exploitation ,Ingénieur Soudeur IWE,Oui,"Énergie (Production et distribution d électricité, de gaz, de vapeur et d air conditionné)",,38000.0,Oui,40000.0,Oui,,,,,,,,,,,,,,
14/04/2019 12:04,"1,76747E+15",Homme,Oui,,2018,Formation initiale (hors apprentissage),Sciences et Technologies de l Eau (STE),En recherche emploi,Oui,8.0,Non,Manque d expérience professionnelle,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2019 13:34,"1,98905E+15",Femme,Oui,,2016,Formation initiale (hors apprentissage),Mécanique et Interactions (MI),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Provence-Alpes-Côte d Azur,,Non,31.0,Non,5 000 salarié(e)s ou plus,Etudes - Conseil et expertise (autre qu'informatique),Concepteur,Oui,"Énergie (Production et distribution d électricité, de gaz, de vapeur et d air conditionné)",,31500.0,Non,31500.0,,,,,,,,,,,,,,,
08/02/2019 14:29,"1,89384E+15",Homme,Oui,,2016,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En recherche emploi,Non,1.0,Oui,"Manque d expérience professionnelle|Formation mal, ou pas, reconnue par les employeurs|Salaire proposé insuffisant",,,,Oui,,,,,,,,,,,,,,,,,,,,,CDD (contrat de travail à durée déterminée),Developpeur web ,En France,Grand Est,,Montpellier,De 50 à 249 salarié(e)s ,"Industrie automobile, aéronautique, navale, ferroviaire",Non,Non,23000.0,Non,23000.0
08/02/2019 14:31,"1,86777E+15",Homme,Oui,,2017,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Île-de-France,,Non,15.0,Non,250 à  4 999 salarié(e)s ,Informatique industrielle et technique ,Ingénieur FPGA,Oui,"Industrie automobile, aéronautique, navale, ferroviaire",,,Oui,,,,,,,,,,,,,,,,
08/02/2019 14:32,"1,78852E+15",Femme,Oui,,2016,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Île-de-France,,Non,4.0,Non,5 000 salarié(e)s ou plus,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Dimensionneur effectifs PNC,Oui,"Industrie automobile, aéronautique, navale, ferroviaire",,36000.0,Oui,38000.0,,,CDI (contrat de travail à durée indéterminée) y compris CDIC,Consultant BI Big Data,En France,Nouvelle-Aquitaine,,,250 à  4 999 salarié(e)s ,Télécommunications,Oui,Non,27000.0,Oui,29000.0
08/02/2019 14:33,"1,80285E+15",Femme,Oui,,2016,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Pays de la Loire,,Non,24.0,Non,5 000 salarié(e)s ou plus,Etudes et développement en systèmes d information ,Consultant décisionnel,Oui,Activités informatiques et services d information (TIC services),,33200.0,Oui,36500.0,,,,,,,,,,,,,,,
08/02/2019 17:08,"1,78305E+15",Femme,Oui,,2018,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En poursuite d études (hors thèse),,,,,non,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/03/2019 00:06,"1,78343E+15",Homme,Oui,,2018,Formation initiale (hors apprentissage),Sciences et Technologies de l Eau (STE),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Occitanie,,Non,3.0,Non,5 000 salarié(e)s ou plus,Production - Exploitation ,Technicien exploitation Chargé des réseaux,Non,"Production et distribution d eau assainissement, gestion des déchets et dépollution",,23760.0,Oui,28000.0,,,,,,,,,,,,,,,
08/02/2019 14:40,"1,98292E+15",Homme,Oui,,2017,Sous contrat d apprentissage,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Provence-Alpes-Côte d Azur,,Non,18.0,Non,De 50 à 249 salarié(e)s ,Production - Exploitation ,Ingénieur travaux,Oui,"Construction, BTP",,33300.0,Oui,34500.0,,,,,,,,,,,,,,,
