"identifiant","remuneration_annuelle_brute","sexe","date_diplome","filiere","nationalite_francaise","nationalite","prime","remuneration_prime","remuneration_annuelle_brute_hors_prime_premier_emploi","prime_premier_emploi","remuneration_annuelle_brute_avec_prime_premier_emploi"
"1775416913436200",24588,"Femme",2020,"GBA","Oui","","Oui",26988,29000,"",29000
"1775419208131070",39000,"Homme",2018,"MEA","Oui","","Oui",42250,NA,"",NA
"1775426942739380",61000,"Homme",2019,"IG","Oui","","Non",61000,NA,"",NA
"1775427164460220",32000,"Homme",2021,"SE-app","Oui","","Oui",34500,NA,"",NA
"1775485178515470",39250,"Homme",2018,"IG","Oui","","Oui",40750,31500,"",32500
"1775503115236440",31000,"Homme",2019,"SE-app","Oui","","Oui",34702,NA,"",NA
"1775503193890190",30815,"Homme",2017,"IG","Oui","","Oui",32110,NA,"",NA
"1775503433566090",23100,"Homme",2019,"STE","Oui","","",24100,18600,"",18600
"1775569781638920",29544,"Homme",2019,"IG","Non","Chypriote","Oui",32004,NA,"",NA
"1775569793727760",31000,"Femme",2019,"MAT","Oui","","Non",31000,NA,"",NA
"1775569932483610",73600,"Homme",2017,"GBA","Oui","","Oui",85000,NA,"",NA
"1775570466040350",35400,"Homme",2021,"MAT","Oui","","",41000,NA,"",NA
"1775570479028540",40000,"Homme",2019,"STE","Oui","","Oui",40000,NA,"",NA
"1775574132888890",47500,"Homme",2018,"MAT","Oui","","Oui",49250,NA,"",NA
"1775574138224740",55000,"Homme",2018,"IG","Oui","","Oui",60000,NA,"",NA
"1775637568774260",27500,"Femme",2019,"MEA","Oui","","Oui",27750,27000,"",27500
"1775640549596370",40000,"Homme",2021,"MAT","Oui","","Oui",48500,NA,"",NA
"1775643742622870",36000,"Femme",2020,"MAT","Oui","","",40000,NA,"",NA
"1775713758266800",35650,"Homme",2020,"MEA","Oui","","Non",36250,NA,"",NA
"1775789449534080",34333.3333333333,"Homme",2019,"MEA","Non","Tunisienne","Oui",37766.6666666667,31200,"",31500
"1775789583055560",37500,"Homme",2021,"MEA","Oui","","Non",37500,36000,"",36000
"1775865280286940",33000,"Homme",2021,"MEA","Oui","","Oui",38000,NA,"",NA
"1775873539752900",37833.3333333333,"Homme",2020,"IG","Oui","","Non",39000,30000,"",33000
"1775874295172510",37500,"Femme",2017,"MI","Oui","","Oui",42125,35000,"",45000
"1775874372476520",42250,"Homme",2019,"MEA","Oui","","Non",43000,NA,"",NA
"1775947055237320",25092,"Homme",2021,"MI","Oui","","Oui",27601,27000,"",27000
"1775951424215310",39166.6666666667,"Homme",2019,"IG","Oui","","Non",40166.6666666667,NA,"",NA
"1775951427991600",30500,"Homme",2019,"IG","Oui","","Oui",32999.5,NA,"",NA
"1775951503420270",24300,"Homme",2017,"STE","Oui","","Non",24300,24000,"",24000
"1775955957977140",27534.3333333333,"Femme",2020,"GBA","Oui","","Oui",30000,NA,"",NA
"1775955960243890",45300,"Femme",2018,"IG","Oui","","Oui",48500,NA,"",NA
"1775955964081440",35400,"Homme",2021,"EGC-app","Oui","","Oui",41000,NA,"",NA
"1775955967798490",34900,"Femme",2020,"STE","Oui","","Oui",34900,NA,"",NA
"1775956035087940",35346.6666666667,"Femme",2019,"IG","Oui","","Oui",39126.6666666667,NA,"",NA
"1775956046429000",36250,"Femme",2018,"GBA","Oui","","Non",38250,NA,"",NA
"1775956121915440",26666.6666666667,"Femme",2019,"GBA","Oui","","Non",28333.3333333333,22200,"",23100
"1775956183971460",31200,"Femme",2021,"MEA","Oui","","Non",33700,NA,"",NA
