"identifiant","remuneration_annuelle_brute_avec_prime_premier_emploi","remuneration_prime","mois_emploi_occupe"
"1768381832280630",NA,32750,20
"1769001673077350",NA,32400,28
"1782921098924520",NA,NA,NA
"1883067325976580",NA,38000,18
"1819612881825740",NA,41000,17
"1807101910477350",NA,31176,18
"1789582885128400",NA,34000,6
"1782327125470830",31650,NA,NA
"1888487008827510",NA,85000,1
"1776019523215080",28000,32000,11
"1793786871988390",NA,NA,6
"1782917424882040",NA,NA,NA
"1888751685457400",NA,30000,18
"1789078855884410",NA,37000,3
"1893786432020460",30000,31200,16
"1783106098251910",NA,42000,20
"1889582630060280",NA,36000,18
"1782462616705970",NA,31700,20
"1867832820082110",32500,NA,NA
"1893786452866060",NA,NA,NA
"1793784760826020",NA,32850,19
"1799018599352620",30000,32000,2
"1783429017124100",33000,NA,NA
"1788522876664480",NA,38000,1
"1788516872365960",42000,42000,3
"1782714871372130",NA,40000,10
"1888691976908340",NA,42000,17
"1783422659958510",NA,NA,NA
"1876551312227140",NA,33000,19
"1782921167163880",NA,NA,NA
"1783679099546370",36000,30000,6
"1888751669475030",NA,35750,18
"1788751978030430",NA,43500,18
"1776630773109110",NA,12000,6
"1803368856162970",NA,39200,30
"1768549879167250",NA,NA,6
"1783297915005930",NA,NA,NA
"1788462420380880",36000,NA,NA
"1868988670674720",NA,40000,1
"1783100780584060",NA,NA,NA
"1783429142491480",NA,31000,6
"1776551862423230",NA,NA,2
"1788522928699360",NA,32000,19
"1794283006033660",NA,33600,6
"1867637446209260",NA,40000,19
"1893740809274490",NA,33500,17
"1788410734715660",NA,33000,5
"1794190821207790",NA,27300,13
"1883039045229260",NA,NA,NA
"1866818185366510",NA,NA,NA
"1788516770494320",NA,NA,NA
"1799331929764900",36000,NA,NA
"1776091732469000",NA,27000,13
" Trop de déplacements professionnels.",NA,NA,4
"1876167130216860",NA,NA,NA
"1894306484834410",NA,36000,19
"1876615329620930",NA,33000,4
"1813820725867770",NA,72000,25
"84509804001426",NA,NA,NA
"1794282953977130",40000,39000,11
"1767362704614120",NA,18120,3
"1888802842849220",NA,26000,7
"1783045885270760",NA,35500,2
"1783679030564280",NA,34000,6
"1783100982408970",18600,NA,NA
"1783101163885720",NA,NA,NA
"1793786666621500",17700,NA,NA
"1782327058247290",27600,31220,1
"1776091968227540",NA,NA,NA
"1806734045417840",NA,NA,NA
"1783100980512230",NA,26000,6
"1782328885671700",NA,30000,5
"1776615745148510",NA,32000,1
"1788414863732680",NA,35600,30
"1903247824375000",NA,34000,0
"1788460210630430",NA,26400,4
"1782921286257270",24000,28000,12
"1889049477647590",NA,28000,21
"1768183410410310",31000,31000,10
"1798714216732660",NA,38000,5
"1767911585358410",NA,42818,4
"1783101170916350",NA,36000,6
"1794036690548180",NA,36500,6
"1989049429361750",NA,33000,18
"1802887604588360",NA,34000,7
"1794480769324110",NA,26000,1
"1788404486821090",NA,34000,12
"1788751987050830",NA,33800,15
"1782520253592090",36000,NA,NA
"1888410485434960",NA,26000,6
"1775265351539410",NA,NA,NA
"1789246173692020",NA,NA,1
