Date,sexe,identifiant,date_diplome,filiere,nationalite_francaise,nationalite,remuneration_annuelle_brute,prime,remuneration_prime,remuneration_annuelle_brute_hors_prime_premier_emploi,prime_premier_emploi,remuneration_annuelle_brute_avec_prime_premier_emploi
08/03/2023 10:31,Femme,1783230237483100.0,2022,Eau et Génie Civil (EGC - apprentissage),Oui,,37800.0,Oui,41895.0,,,
07/03/2023 21:43,Homme,1776177653526070.0,2020,Microélectronique Et Automatique (MEA),Non,Marocaine,35100.0,Oui,37100.0,30000.0,Oui,31500.0
07/03/2023 09:42,Homme,1883678675918150.0,2020,Mécanique et Interactions (MI),Oui,,30000.0,Oui,38500.0,,,
06/03/2023 14:03,Homme,1775427164460220.0,2021,Systèmes Embarqués (SE - apprentissage),Oui,,32000.0,Oui,35000.0,,,
22/04/2023 16:30,Femme,1994332188505840.0,2020,Matériaux (MAT),,,30600.0,Non,30600.0,,,
03/03/2023 14:03,Femme,1776166991759020.0,2021,Microélectronique Et Automatique (MEA),Oui,,34000.0,Non,34000.0,,,
03/03/2023 10:02,Femme,1775955961860540.0,2022,Génie Biologique et Agroalimentaires (GBA),Oui,,36100.0,Oui,36100.0,,,
02/03/2023 20:24,Homme,1777070305840640.0,2022,Microélectronique Et Automatique (MEA),Oui,,37500.0,Non,37500.0,,,
02/03/2023 19:39,Homme,1888802866345600.0,2021,Microélectronique Et Automatique (MEA),Non,Algérienne,41000.0,Oui,43700.0,,,
02/03/2023 19:28,Homme,1768549617933890.0,2021,Systèmes Embarqués (SE - apprentissage),Oui,,,,,,,
02/03/2023 19:16,Homme,1798487266210660.0,2022,Microélectronique Et Automatique (MEA),Oui,,57590.0,Oui,63358.0,,,
02/03/2023 12:27,Homme,1802929765219250.0,2020,Eau et Génie Civil (EGC - apprentissage),Oui,,,,,,,
02/03/2023 08:47,Homme,1767473044458750.0,2020,Microélectronique Et Automatique (MEA),Oui,,36000.0,Oui,43000.0,,,
01/03/2023 15:27,Homme,1788410955870170.0,2021,Matériaux (MAT),Oui,,30000.0,Oui,49600.0,,,
01/03/2023 09:20,Femme,1876052182501930.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,,,,,,
28/02/2023 12:48,Homme,1768367355289050.0,2021,Informatique et Gestion (IG),Oui,,,,,,,
27/02/2023 18:01,Homme,1767362688988250.0,2020,Eau et Génie Civil (EGC - apprentissage),Oui,,29400.0,Oui,32000.0,,,
27/02/2023 15:21,Homme,1775955964081440.0,2021,Eau et Génie Civil (EGC - apprentissage),Oui,,36000.0,Oui,40000.0,,,
26/02/2023 16:57,Femme,1782593075288160.0,2022,Matériaux (MAT),Oui,,40000.0,Non,40000.0,,,
25/02/2023 11:45,Femme,1788409475662410.0,2020,Génie Biologique et Agroalimentaires (GBA),Oui,,32000.0,Oui,33500.0,,,
24/02/2023 17:54,Homme,1810544163800990.0,2021,Matériaux (MAT),Non,Brésilienne,,,,,,
24/02/2023 17:28,Homme,1789357194441510.0,2022,Matériaux (MAT),Oui,,36600.0,Oui,40000.0,,,
03/02/2023 16:06,Femme,1794332416683640.0,2020,Matériaux (MAT),Oui,,32000.0,Non,32000.0,,,
23/02/2023 16:47,Homme,1889312886573050.0,2020,Microélectronique Et Automatique (MEA),Oui,,37000.0,Oui,39000.0,33000.0,Oui,34000.0
23/02/2023 13:00,Homme,1783551733078500.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,30000.0,Oui,36000.0,,,
23/02/2023 10:53,Femme,1776167053468420.0,2020,Génie Biologique et Agroalimentaires (GBA),Oui,,,,,38000.0,Non,38000.0
23/02/2023 09:09,Femme,1783552301979020.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,35000.0,Non,35000.0,28000.0,Non,28000.0
23/02/2023 06:29,Femme,1798751286695650.0,2020,Génie Biologique et Agroalimentaires (GBA),Oui,,25300.0,Non,25300.0,22800.0,Non,22800.0
23/02/2023 05:09,Homme,1799286120474790.0,2022,Systèmes Embarqués (SE - apprentissage),Oui,,30000.0,Non,30000.0,,,
22/02/2023 15:26,Homme,1766809577162840.0,2022,Informatique et Gestion (IG),Oui,,,,,,,
22/02/2023 10:26,Homme,1782336313623750.0,2022,Sciences et Technologies de l'Eau (STE),Oui,,,Oui,,,,
21/02/2023 10:37,Homme,1788753613143020.0,2020,Systèmes Embarqués (SE - apprentissage),Oui,,42500.0,Non,42500.0,41000.0,Oui,42000.0
21/02/2023 10:16,Homme,1794096388000370.0,2021,Microélectronique Et Automatique (MEA),Oui,,32997.0,Non,32997.0,,,
21/02/2023 09:24,Homme,1794775501410280.0,2021,Microélectronique Et Automatique (MEA),,,38000.0,Oui,40000.0,31200.0,Non,31200.0
20/02/2023 23:07,Homme,1894332243178390.0,2022,Matériaux (MAT),Oui,,25200.0,Oui,28000.0,,,
20/02/2023 22:49,Femme,1802769964527760.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,32400.0,Oui,32400.0,,,
20/02/2023 22:37,Femme,1794332572090700.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,,,,,,
20/02/2023 19:12,Femme,1788516762629580.0,2020,Génie Biologique et Agroalimentaires (GBA),Oui,,26400.0,Oui,26400.0,,,
20/02/2023 18:52,Homme,1888692414711220.0,2020,Génie Biologique et Agroalimentaires (GBA),Oui,,27000.0,Oui,29250.0,,,
20/02/2023 18:08,Homme,1776621772644070.0,2021,Eau et Génie Civil (EGC - apprentissage),Oui,,36000.0,Oui,37000.0,,,
20/02/2023 18:07,Homme,1794332471046590.0,2021,Systèmes Embarqués (SE - apprentissage),Oui,,38000.0,Non,38000.0,,,
20/02/2023 15:09,Femme,1767828128912480.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,30000.0,Oui,32900.0,,,
20/02/2023 14:58,Femme,1782462472987090.0,2020,Génie Biologique et Agroalimentaires (GBA),Oui,,34000.0,Oui,36000.0,,,
20/02/2023 13:16,Femme,1906660969671130.0,2020,Génie Biologique et Agroalimentaires (GBA),Oui,,39000.0,Oui,39000.0,39000.0,Non,39000.0
20/02/2023 12:46,Femme,1782328826266060.0,2022,Génie Biologique et Agroalimentaires (GBA),Oui,,37800.0,Oui,41500.0,,,
20/02/2023 12:44,Femme,1788970875470830.0,2021,Matériaux (MAT),Non,Marocaine,,,,,,
20/02/2023 12:37,Femme,1769089983588510.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,,,,,,
20/02/2023 12:18,Femme,1776166918891870.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,,,,30000.0,Oui,31000.0
20/02/2023 12:11,Homme,1876621281945100.0,2021,Sciences et Technologies de l'Eau (STE),Oui,,38000.0,Non,38000.0,,,
20/02/2023 12:07,Femme,1776167061708890.0,2022,Génie Biologique et Agroalimentaires (GBA),Oui,,,,,,,
20/02/2023 11:57,Homme,1767650767951450.0,2021,Microélectronique Et Automatique (MEA),Oui,,,,,31000.0,Non,31000.0
20/02/2023 11:47,Femme,1789245951709390.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,,,,,,
20/02/2023 10:43,Homme,1768183678697820.0,2021,Microélectronique Et Automatique (MEA),Oui,,,,,20088.0,Non,20088.0
20/02/2023 09:53,Homme,1799284447124130.0,2020,Microélectronique Et Automatique (MEA),Non,Tunisienne,39000.0,Oui,45000.0,,,
20/02/2023 08:07,Homme,1788918782266590.0,2021,Systèmes Embarqués (SE - apprentissage),Oui,,37800.0,Non,37800.0,,,
19/02/2023 22:39,Homme,1789470186881510.0,2020,Mécanique et Interactions (MI),Oui,,34000.0,Oui,36000.0,,,
19/02/2023 21:50,Homme,1776551716488150.0,2021,Matériaux (MAT),Oui,,47000.0,Oui,49000.0,,,
19/02/2023 21:39,Femme,1793838194820330.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,33000.0,Non,33000.0,,,
19/02/2023 21:14,Femme,1788639865433410.0,2021,Sciences et Technologies de l'Eau (STE),Oui,,26400.0,Oui,30000.0,,,
19/02/2023 14:04,Homme,1776106790932630.0,2021,Microélectronique Et Automatique (MEA),Oui,,33000.0,Oui,33000.0,,,
19/02/2023 13:28,Homme,1776019599331780.0,2022,Microélectronique Et Automatique (MEA),Oui,,32000.0,Oui,33000.0,,,
19/02/2023 13:25,Homme,1798487180756620.0,2021,Eau et Génie Civil (EGC - apprentissage),Oui,,,,,,,
19/02/2023 07:33,Homme,1788460155174270.0,2020,Systèmes Embarqués (SE - apprentissage),,,,,,,,
18/02/2023 19:01,Homme,1782332270006630.0,2022,Microélectronique Et Automatique (MEA),Oui,,,,,,,
18/02/2023 17:58,Homme,1783429211757400.0,2021,Microélectronique Et Automatique (MEA),Oui,,,,,,,
18/02/2023 17:30,Homme,1782392903986310.0,2020,Systèmes Embarqués (SE - apprentissage),Oui,,36000.0,Oui,40000.0,,,
18/02/2023 15:58,Homme,1783551727452290.0,2022,Microélectronique Et Automatique (MEA),Oui,,40000.0,Oui,43000.0,,,
18/02/2023 15:01,Homme,1782779356697980.0,2020,Systèmes Embarqués (SE - apprentissage),Oui,,55000.0,Non,55000.0,,,
18/02/2023 13:18,Homme,1803013677885640.0,2021,Microélectronique Et Automatique (MEA),Oui,,32000.0,Non,32000.0,,,
